id,country,year,cost_healthy_diet_ppp_usd,annual_cost_healthy_diet_usd,cost_vegetables_ppp_usd,cost_fruits_ppp_usd,total_food_components_cost,continent,cpi
1,Albania,2017,3.04,1109.6,,,,Europe,1.98666133171199
2,Albania,2018,3.13,1142.45,,,,Europe,2.02805963071136
3,Albania,2019,3.32,1211.8,,,,Europe,1.41109078954246
4,Albania,2020,3.4,1241.0,,,,Europe,1.62088661717011
5,Albania,2021,3.49,1273.85,0.6,0.77,1.37,Europe,2.04147163139549
6,Albania,2022,4.14,1511.1,,,,Europe,6.72520271530048
7,Albania,2023,4.58,1671.7,,,,Europe,4.75976421930107
8,Albania,2024,4.77,1741.05,,,,Europe,
9,Algeria,2017,4.1,1496.4999999999998,,,,Africa,5.59111590961664
10,Algeria,2018,4.16,1518.4,,,,Africa,4.26999020467084
11,Algeria,2019,4.18,1525.6999999999998,,,,Africa,1.95176821052892
12,Algeria,2020,4.19,1529.35,,,,Africa,2.41513094083414
13,Algeria,2021,4.47,1631.55,0.72,1.1,1.82,Africa,7.22606307415477
14,Algeria,2022,5.01,1828.65,,,,Africa,9.26551551551553
15,Algeria,2023,5.41,1974.65,,,,Africa,9.32217375928322
16,Algeria,2024,5.53,2018.45,,,,Africa,
17,Angola,2017,3.18,1160.7,,,,Africa,29.8444799015679
18,Angola,2018,3.27,1193.55,,,,Africa,19.6289379701521
19,Angola,2019,3.43,1251.95,,,,Africa,17.080954143438
20,Angola,2020,3.7,1350.5,,,,Africa,22.271539247051
21,Angola,2021,4.11,1500.15,0.44,0.75,1.19,Africa,25.7542948841891
22,Angola,2022,4.55,1660.75,,,,Africa,21.3552901320822
23,Angola,2023,4.72,1722.8,,,,Africa,13.6441017767715
24,Angola,2024,5.0,1825.0,,,,Africa,
25,Antigua and Barbuda,2017,3.77,1376.05,,,,North America,2.43248789041363
26,Antigua and Barbuda,2018,4.24,1547.6,,,,North America,1.20715793367008
27,Antigua and Barbuda,2019,4.38,1598.7,,,,North America,1.43135598182984
28,Antigua and Barbuda,2020,4.67,1704.55,,,,North America,0.625989707046719
29,Antigua and Barbuda,2021,4.92,1795.8,1.26,1.59,2.85,North America,2.06299638545334
30,Antigua and Barbuda,2022,5.46,1992.9,,,,North America,7.53107834634288
31,Antigua and Barbuda,2023,5.8,2117.0,,,,North America,5.06713865364213
32,Antigua and Barbuda,2024,5.9,2153.5,,,,North America,
33,Argentina,2017,3.26,1189.9,,,,South America,
34,Armenia,2017,3.22,1175.3000000000002,,,,Asia,0.969553268816138
35,Armenia,2018,3.31,1208.15,,,,Asia,2.52023382001638
36,Armenia,2019,3.44,1255.6,,,,Asia,1.44344660770698
37,Armenia,2020,3.54,1292.1,,,,Asia,1.21143577838465
38,Armenia,2021,3.8,1387.0,0.6,0.92,1.52,Asia,7.18483629443371
39,Armenia,2022,4.27,1558.55,,,,Asia,8.64091108973855
40,Armenia,2023,4.33,1580.45,,,,Asia,1.98041877615554
41,Armenia,2024,4.35,1587.7499999999998,,,,Asia,
42,Aruba,2017,3.38,1233.7,,,,North America,-1.02828178762012
43,Aruba,2018,3.55,1295.75,,,,North America,3.62604141352961
44,Aruba,2019,3.79,1383.35,,,,North America,4.25746204335428
45,Aruba,2020,3.9,1423.5,,,,North America,
46,Aruba,2021,4.0,1460.0,1.0,1.09,2.09,North America,
47,Aruba,2022,4.5,1642.5,,,,North America,
48,Aruba,2023,4.82,1759.3000000000002,,,,North America,
49,Aruba,2024,5.0,1825.0,,,,North America,
50,Australia,2017,2.33,850.45,,,,Oceania,1.94864740944527
51,Australia,2018,2.36,861.4,,,,Oceania,1.91140094445691
52,Australia,2019,2.4,876.0,,,,Oceania,1.61076787290379
53,Australia,2020,2.51,916.15,,,,Oceania,0.846905537459305
54,Australia,2021,2.61,952.65,0.73,0.78,1.51,Oceania,2.86391042204994
55,Australia,2022,2.88,1051.2,,,,Oceania,6.59409671341846
56,Australia,2023,3.1,1131.5,,,,Oceania,5.5970149253731
57,Australia,2024,3.2,1168.0,,,,Oceania,
58,Austria,2017,2.06,751.9,,,,Europe,2.08126911385587
59,Austria,2018,2.11,770.15,,,,Europe,1.9983798142954
60,Austria,2019,2.19,799.35,,,,Europe,1.53089564152644
61,Austria,2020,2.3,839.4999999999999,,,,Europe,1.38191063351862
62,Austria,2021,2.42,883.3,0.72,0.72,1.44,Europe,2.7666666666667
63,Austria,2022,2.75,1003.75,,,,Europe,8.5468699318845
64,Austria,2023,2.91,1062.15,,,,Europe,7.81413417002832
65,Austria,2024,2.99,1091.35,,,,Europe,
66,Azerbaijan,2017,2.9,1058.5,,,,Asia,12.9359184187335
67,Azerbaijan,2018,2.95,1076.75,,,,Asia,2.26854690373999
68,Azerbaijan,2019,3.1,1131.5,,,,Asia,2.61057182799215
69,Azerbaijan,2020,3.28,1197.1999999999998,,,,Asia,2.75980947008127
70,Azerbaijan,2021,3.44,1255.6,0.46,0.66,1.12,Asia,6.65029912708779
71,Azerbaijan,2022,3.92,1430.8,,,,Asia,13.8522590144267
72,Azerbaijan,2023,4.13,1507.45,,,,Asia,8.78543049849081
73,Azerbaijan,2024,4.2,1533.0,,,,Asia,
74,Bahamas,2017,4.2,1533.0,,,,North America,
75,Bahamas,2018,4.23,1543.95,,,,North America,
76,Bahamas,2019,4.12,1503.8,,,,North America,
77,Bahamas,2020,4.19,1529.35,,,,North America,
78,Bahamas,2021,4.28,1562.2,,,,North America,
79,Bahamas,2022,4.96,1810.4,,,,North America,
80,Bahamas,2023,5.25,1916.25,,,,North America,
81,Bahamas,2024,5.54,2022.1,,,,North America,
82,Bahrain,2017,3.04,1109.6,,,,Asia,1.38671830576406
83,Bahrain,2018,3.19,1164.35,,,,Asia,2.08766938046978
84,Bahrain,2019,3.3,1204.5,,,,Asia,1.00582004702137
85,Bahrain,2020,3.42,1248.3,,,,Asia,-2.31770629331379
86,Bahrain,2021,3.25,1186.25,0.74,0.41,1.15,Asia,-0.60631938514085
87,Bahrain,2022,3.74,1365.1,,,,Asia,3.62574104304482
88,Bahrain,2023,4.12,1503.8,,,,Asia,0.0746206782192256
89,Bahrain,2024,4.33,1580.45,,,,Asia,
90,Bangladesh,2017,3.09,1127.85,,,,Asia,5.70207015717239
91,Bangladesh,2018,3.26,1189.9,,,,Asia,5.54362139486476
92,Bangladesh,2019,3.4,1241.0,,,,Asia,5.59199639930629
93,Bangladesh,2020,3.61,1317.65,,,,Asia,5.69107474746211
94,Bangladesh,2021,3.83,1397.95,0.76,0.66,1.42,Asia,5.54565430773473
95,Bangladesh,2022,4.13,1507.45,,,,Asia,7.69695437176898
96,Bangladesh,2023,4.33,1580.45,,,,Asia,9.8835030377921
97,Bangladesh,2024,4.49,1638.85,,,,Asia,
98,Belarus,2017,3.13,1142.45,,,,Europe,6.03183725177793
99,Belarus,2018,3.13,1142.45,,,,Europe,4.87230220550684
100,Belarus,2019,3.19,1164.35,,,,Europe,5.59815595039854
101,Belarus,2020,3.22,1175.3000000000002,,,,Europe,5.54814357456511
102,Belarus,2021,3.3,1204.5,0.48,0.94,1.42,Europe,9.46028389623103
103,Belarus,2022,3.6,1314.0,,,,Europe,15.209675274081
104,Belarus,2023,3.72,1357.8000000000002,,,,Europe,5.0005990309131
105,Belarus,2024,3.83,1397.95,,,,Europe,
106,Belgium,2017,2.0,730.0,,,,Europe,2.12597086002607
107,Belgium,2018,2.07,755.55,,,,Europe,2.05316499865186
108,Belgium,2019,2.16,788.4000000000001,,,,Europe,1.43681956996429
109,Belgium,2020,2.28,832.1999999999999,,,,Europe,0.740791812220344
110,Belgium,2021,2.26,824.9,0.62,0.74,1.36,Europe,2.44024851144084
111,Belgium,2022,2.49,908.85,,,,Europe,9.597511728725
112,Belgium,2023,2.77,1011.05,,,,Europe,4.04901077613941
113,Belgium,2024,2.81,1025.65,,,,Europe,
114,Belize,2017,2.56,934.4,,,,North America,1.14765339305816
115,Belize,2018,2.69,981.85,,,,North America,0.269982622646335
116,Belize,2019,2.9,1058.5,,,,North America,0.187069385181424
117,Belize,2020,3.16,1153.4,,,,North America,0.121434644614894
118,Belize,2021,3.52,1284.8,1.22,0.28,1.5,North America,3.23563659237071
119,Belize,2022,3.85,1405.25,,,,North America,6.27689319447544
120,Belize,2023,4.32,1576.8000000000002,,,,North America,4.38984017487675
121,Belize,2024,4.54,1657.1,,,,North America,
122,Benin,2017,2.85,1040.25,,,,Africa,0.0432648555103608
123,Benin,2018,2.87,1047.55,,,,Africa,0.919170717886054
124,Benin,2019,2.89,1054.85,,,,Africa,0.732849371240975
125,Benin,2020,2.9,1058.5,,,,Africa,3.02272119663769
126,Benin,2021,3.07,1120.55,0.57,0.36,0.93,Africa,1.73353962694036
127,Benin,2022,3.25,1186.25,,,,Africa,1.35077863583527
