country,commodity,year,cost_healthy_diet_ppp_usd,annual_cost_healthy_diet_usd,cost_vegetables_ppp_usd,cost_fruits_ppp_usd,total_food_components_cost,continent
Albania,nan,2017.0,3.04,1109.6,,,,Europe
Albania,nan,2018.0,3.13,1142.45,,,,Europe
Albania,nan,2019.0,3.32,1211.8,,,,Europe
Albania,nan,2020.0,3.4,1241.0,,,,Europe
Albania,nan,2021.0,3.49,1273.85,0.6,0.77,1.37,Europe
Albania,nan,2022.0,4.14,1511.1,,,,Europe
Albania,nan,2023.0,4.58,1671.7,,,,Europe
Albania,nan,2024.0,4.77,1741.05,,,,Europe
Algeria,nan,2017.0,4.1,1496.4999999999998,,,,Africa
Algeria,nan,2018.0,4.16,1518.4,,,,Africa
Algeria,nan,2019.0,4.18,1525.6999999999998,,,,Africa
Algeria,nan,2020.0,4.19,1529.35,,,,Africa
Algeria,nan,2021.0,4.47,1631.55,0.72,1.1,1.82,Africa
Algeria,nan,2022.0,5.01,1828.65,,,,Africa
Algeria,nan,2023.0,5.41,1974.65,,,,Africa
Algeria,nan,2024.0,5.53,2018.45,,,,Africa
Angola,nan,2017.0,3.18,1160.7,,,,Africa
Angola,nan,2018.0,3.27,1193.55,,,,Africa
Angola,nan,2019.0,3.43,1251.95,,,,Africa
Angola,nan,2020.0,3.7,1350.5,,,,Africa
Angola,nan,2021.0,4.11,1500.15,0.44,0.75,1.19,Africa
Angola,nan,2022.0,4.55,1660.75,,,,Africa
Angola,nan,2023.0,4.72,1722.8,,,,Africa
Angola,nan,2024.0,5.0,1825.0,,,,Africa
Antigua and Barbuda,nan,2017.0,3.77,1376.05,,,,North America
Antigua and Barbuda,nan,2018.0,4.24,1547.6,,,,North America
Antigua and Barbuda,nan,2019.0,4.38,1598.7,,,,North America
Antigua and Barbuda,nan,2020.0,4.67,1704.55,,,,North America
Antigua and Barbuda,nan,2021.0,4.92,1795.8,1.26,1.59,2.85,North America
Antigua and Barbuda,nan,2022.0,5.46,1992.9,,,,North America
Antigua and Barbuda,nan,2023.0,5.8,2117.0,,,,North America
Antigua and Barbuda,nan,2024.0,5.9,2153.5,,,,North America
Argentina,nan,2017.0,3.26,1189.9,,,,South America
Armenia,nan,2017.0,3.22,1175.3000000000002,,,,Asia
Armenia,nan,2018.0,3.31,1208.15,,,,Asia
Armenia,nan,2019.0,3.44,1255.6,,,,Asia
Armenia,nan,2020.0,3.54,1292.1,,,,Asia
Armenia,nan,2021.0,3.8,1387.0,0.6,0.92,1.52,Asia
Armenia,nan,2022.0,4.27,1558.55,,,,Asia
Armenia,nan,2023.0,4.33,1580.45,,,,Asia
Armenia,nan,2024.0,4.35,1587.7499999999998,,,,Asia
Aruba,nan,2017.0,3.38,1233.7,,,,North America
Aruba,nan,2018.0,3.55,1295.75,,,,North America
Aruba,nan,2019.0,3.79,1383.35,,,,North America
Aruba,nan,2020.0,3.9,1423.5,,,,North America
Aruba,nan,2021.0,4.0,1460.0,1.0,1.09,2.09,North America
Aruba,nan,2022.0,4.5,1642.5,,,,North America
Aruba,nan,2023.0,4.82,1759.3000000000002,,,,North America
Aruba,nan,2024.0,5.0,1825.0,,,,North America
Australia,nan,2017.0,2.33,850.45,,,,Oceania
Australia,nan,2018.0,2.36,861.4,,,,Oceania
Australia,nan,2019.0,2.4,876.0,,,,Oceania
Australia,nan,2020.0,2.51,916.15,,,,Oceania
Australia,nan,2021.0,2.61,952.65,0.73,0.78,1.51,Oceania
Australia,nan,2022.0,2.88,1051.2,,,,Oceania
Australia,nan,2023.0,3.1,1131.5,,,,Oceania
Australia,nan,2024.0,3.2,1168.0,,,,Oceania
Austria,nan,2017.0,2.06,751.9,,,,Europe
Austria,nan,2018.0,2.11,770.15,,,,Europe
Austria,nan,2019.0,2.19,799.35,,,,Europe
Austria,nan,2020.0,2.3,839.4999999999999,,,,Europe
Austria,nan,2021.0,2.42,883.3,0.72,0.72,1.44,Europe
Austria,nan,2022.0,2.75,1003.75,,,,Europe
Austria,nan,2023.0,2.91,1062.15,,,,Europe
Austria,nan,2024.0,2.99,1091.35,,,,Europe
Azerbaijan,nan,2017.0,2.9,1058.5,,,,Asia
Azerbaijan,nan,2018.0,2.95,1076.75,,,,Asia
Azerbaijan,nan,2019.0,3.1,1131.5,,,,Asia
Azerbaijan,nan,2020.0,3.28,1197.1999999999998,,,,Asia
Azerbaijan,nan,2021.0,3.44,1255.6,0.46,0.66,1.12,Asia
Azerbaijan,nan,2022.0,3.92,1430.8,,,,Asia
Azerbaijan,nan,2023.0,4.13,1507.45,,,,Asia
Azerbaijan,nan,2024.0,4.2,1533.0,,,,Asia
Bahamas,nan,2017.0,4.2,1533.0,,,,North America
Bahamas,nan,2018.0,4.23,1543.95,,,,North America
Bahamas,nan,2019.0,4.12,1503.8,,,,North America
Bahamas,nan,2020.0,4.19,1529.35,,,,North America
Bahamas,nan,2021.0,4.28,1562.2,,,,North America
Bahamas,nan,2022.0,4.96,1810.4,,,,North America
Bahamas,nan,2023.0,5.25,1916.25,,,,North America
Bahamas,nan,2024.0,5.54,2022.1,,,,North America
Bahrain,nan,2017.0,3.04,1109.6,,,,Asia
Bahrain,nan,2018.0,3.19,1164.35,,,,Asia
Bahrain,nan,2019.0,3.3,1204.5,,,,Asia
Bahrain,nan,2020.0,3.42,1248.3,,,,Asia
Bahrain,nan,2021.0,3.25,1186.25,0.74,0.41,1.15,Asia
