id,country,year,cost_healthy_diet_ppp_usd,annual_cost_healthy_diet_usd,cost_vegetables_ppp_usd,cost_fruits_ppp_usd,total_food_components_cost,continent,cpi
1,Albania,2017,3.04,1109.6,,,,Europe,
2,Albania,2018,3.13,1142.45,,,,Europe,
3,Albania,2019,3.32,1211.8,,,,Europe,
4,Albania,2020,3.4,1241.0,,,,Europe,
5,Albania,2021,3.49,1273.85,0.6,0.77,1.37,Europe,
6,Albania,2022,4.14,1511.1,,,,Europe,
7,Albania,2023,4.58,1671.7,,,,Europe,
8,Albania,2024,4.77,1741.05,,,,Europe,
9,Algeria,2017,4.1,1496.4999999999998,,,,Africa,142.3842
10,Algeria,2018,4.16,1518.4,,,,Africa,148.463992
11,Algeria,2019,4.18,1525.6999999999998,,,,Africa,151.361675
12,Algeria,2020,4.19,1529.35,,,,Africa,155.017258
13,Algeria,2021,4.47,1631.55,0.72,1.1,1.82,Africa,166.2189
14,Algeria,2022,5.01,1828.65,,,,Africa,181.619925
15,Algeria,2023,5.41,1974.65,,,,Africa,198.550867
16,Algeria,2024,5.53,2018.45,,,,Africa,
17,Angola,2017,3.18,1160.7,,,,Africa,
18,Angola,2018,3.27,1193.55,,,,Africa,
19,Angola,2019,3.43,1251.95,,,,Africa,
20,Angola,2020,3.7,1350.5,,,,Africa,
21,Angola,2021,4.11,1500.15,0.44,0.75,1.19,Africa,
22,Angola,2022,4.55,1660.75,,,,Africa,
23,Angola,2023,4.72,1722.8,,,,Africa,
24,Angola,2024,5.0,1825.0,,,,Africa,
25,Antigua and Barbuda,2017,3.77,1376.05,,,,North America,
26,Antigua and Barbuda,2018,4.24,1547.6,,,,North America,
27,Antigua and Barbuda,2019,4.38,1598.7,,,,North America,
28,Antigua and Barbuda,2020,4.67,1704.55,,,,North America,
29,Antigua and Barbuda,2021,4.92,1795.8,1.26,1.59,2.85,North America,
30,Antigua and Barbuda,2022,5.46,1992.9,,,,North America,
31,Antigua and Barbuda,2023,5.8,2117.0,,,,North America,
32,Antigua and Barbuda,2024,5.9,2153.5,,,,North America,
33,Argentina,2017,3.26,1189.9,,,,South America,310.8269021
34,Armenia,2017,3.22,1175.3000000000002,,,,Asia,
35,Armenia,2018,3.31,1208.15,,,,Asia,
36,Armenia,2019,3.44,1255.6,,,,Asia,
37,Armenia,2020,3.54,1292.1,,,,Asia,
38,Armenia,2021,3.8,1387.0,0.6,0.92,1.52,Asia,
39,Armenia,2022,4.27,1558.55,,,,Asia,
40,Armenia,2023,4.33,1580.45,,,,Asia,
41,Armenia,2024,4.35,1587.7499999999998,,,,Asia,
42,Aruba,2017,3.38,1233.7,,,,North America,
43,Aruba,2018,3.55,1295.75,,,,North America,
44,Aruba,2019,3.79,1383.35,,,,North America,
